hour,minute,day_of_week,is_weekend,is_peak,stop_encoded,platform_encoded,route_num,headsign_encoded,delay_min
22,52,6,1,0,2,0,9,2,3.0
23,2,6,1,0,2,0,9,2,1.0
23,11,6,1,0,3,0,2,0,1.0
23,11,6,1,0,3,0,2,0,1.0
23,11,6,1,0,3,0,2,0,1.0
23,11,6,1,0,3,0,2,0,1.0
23,11,6,1,0,3,0,2,0,1.0
23,11,6,1,0,3,0,2,0,1.0
23,11,6,1,0,3,0,2,0,1.0
23,11,6,1,0,3,0,2,0,1.0
23,22,6,1,0,0,0,9,2,1.0
23,22,6,1,0,1,0,9,2,1.0
23,22,6,1,0,1,0,9,2,1.0
23,32,6,1,0,1,0,9,2,1.0
23,22,6,1,0,1,0,9,2,1.0
23,32,6,1,0,1,0,9,2,1.0
23,22,6,1,0,1,0,9,2,1.0
23,32,6,1,0,1,0,9,2,1.0
23,22,6,1,0,1,0,9,2,1.0
23,32,6,1,0,1,0,9,2,1.0
23,22,6,1,0,1,0,9,2,1.0
23,32,6,1,0,1,0,9,2,1.0
23,22,6,1,0,1,0,9,2,1.0
23,32,6,1,0,1,0,9,2,1.0
23,22,6,1,0,1,0,9,2,1.0
23,32,6,1,0,1,0,9,2,1.0
23,22,6,1,0,1,0,9,2,1.0
23,23,6,1,0,2,0,22,5,1.0
23,31,6,1,0,2,0,2,3,1.0
23,31,6,1,0,2,0,2,3,1.0
23,31,6,1,0,2,0,2,3,1.0
23,31,6,1,0,2,0,2,3,1.0
23,31,6,1,0,2,0,2,3,1.0
23,33,6,1,0,2,0,22,1,1.0
23,33,6,1,0,2,0,22,1,1.0
23,33,6,1,0,2,0,22,1,1.0
23,33,6,1,0,2,0,22,1,1.0
23,33,6,1,0,2,0,22,1,1.0
23,33,6,1,0,2,0,22,1,1.0
23,31,6,1,0,2,0,2,3,1.0
23,31,6,1,0,2,0,2,3,1.0
23,31,6,1,0,2,0,2,3,1.0
23,31,6,1,0,2,0,2,3,1.0
23,32,6,1,0,2,0,9,2,1.0
23,31,6,1,0,2,0,2,3,1.0
23,32,6,1,0,2,0,9,2,1.0
23,31,6,1,0,2,0,2,3,1.0
23,32,6,1,0,2,0,9,2,1.0
